manufacturer_id,manufacturer_name
11984,"RAYZEBIO, INC."
9736,AKCEA THERAPEUTICS INC
9744,AB2 BIO LTD
9745,DR JONATHAN GAMBLE
8105,DR. SARAH A MORROW
8912,DR. JAMES KIM
9770,FUSION PHARMACEUTICALS INC.
9771,CLEMENTIA PHARMACEUTICALS INC.
9778,THERIAC BIOMEDICAL INC
9798,"ARCUTIS, INC"
10554,"ARCUTIS BIOTHERAPEUTICS, INC"
8159,ST. BONIFACE HOSPITAL
8180,PRAIRIE PLANT SYSTEMS INC
8201,DR JIM CHRISTENSON
8947,CALADRIUS BIOSCIENCES
8981,"INTERHEALTH NUTRACEUTICALS, INC."
8986,SILLAJEN INCORPORATED
9834,"TAIHO PHARMA CANADA, INC."
9877,STEALTH BIOTHERAPEUTICS INC
10728,ONCOVIR
10827,CANADIAN MYELOMA RESEARCH GROUP
8236,OCTAPHARMA AG
8254,ARAGON PHARMACEUTICALS
9033,ATLANTIC PHARMACEUTICALS LTD
9923,DR. JONATHAN TROY GRENNAN
9926,BLUEPRINT MEDICINES CORPORATION
7463,CENTRE FOR PROBE DEVELOPMENT AND COMMERCIALIZATION
8328,"AASTROM BIOSCIENCES, INC."
8329,VIACYTE INC
9045,ALEXION PHARMA GMBH
9081,PHOENICIA BIOSCIENCES INC.
9082,ARBUTUS BIOPHARMA CORPORATION
9954,MOLECULAR TEMPLATES
9961,FIRST STRING RESEARCH INC
9962,"AVEXIS, INC"
9976,"ODONATE THERAPEUTICS, INC"
9125,IONIS PHARMACEUTICALS INC
8388,CONCORDIA UNIVERSITY
9163,DR JEAN-PIERRE ROUTY
9200,CELGENE INTERNATIONAL II SARL (CIS II)
9202,DR. LAKSHMI YATHAM
10015,"ADVANCED ACCELERATOR APPLICATIONS USA, INC."
10021,PROVIDENCE THERAPEUTICS INC
10024,UNIVERSITY MEDICAL CENTER UTRECHT
9226,NIGHTSTARX LTD
9238,PROTEOSTASIS THERAPEUTICS INC
9252,PARION SCIENCES INCORPORATED
9265,CENTRE INTEGRE UNIVERSITAIRE DE SANTE ET DE SERVICES SOCIAUX DE L'ESTRIE
11519,"EPYGENIX THERAPEUTICS, INC."
11503,"CARTESIAN THERAPEUTICS, INC."
11504,KALVISTA PHARMACEUTICALS LTD.
11427,GOVERNORS OF THE UNIVERSITY OF CALGARY
11345,"ARAVIVE, INC."
10572,CANADIAN MEDICAL AND SURGICAL KNOWLEDGE TRANSLATION RESEARCH GROUP
11406,"AXCELLA HEALTH, INC"
11407,OPTHEA LIMITED
10990,AM-PHARMA B.V.
11301,PRECIRIX NV
11302,PACYLEX PHARMACEUTICALS INC.
10605,"GENMAB US, INC"
11499,LIB THERAPEUTIC LLC
11092,BASIC PHARMA TECHNOLOGIES BV
6777,RAFAEL PHARMACEUTICALS INC
7125,ALBERTA HEALTH SERVICES
7009,AMAG PHARMACEUTICALS INC
7282,BLOORVIEW RESEARCH INSTITUTE
11090,SANOTIZE RESEARCH & DEVELOPMENT CORP.
10857,LG CHEM LTD
10546,CARDIOL THERAPEUTICS INC
11199,ORGANON CANADA INC.
11693,"GB005, INC."
11555,GRIGORY KARIM. DR. G KARMY MEDICINE PROFESSIONAL CORPORATION
11631,"PALLADIO BIOSCIENCES, INC."
10433,DR.COURTNEY CASSERLY
11742,HALUCENEX LIFE SCIENCES INC
10496,SANGAMO THERAPEUTICS
11564,"KRONOS BIO, INC."
11795,"E. MARC JOLICOEUR, MD"
11225,DR MICHAEL TSOUKAS
11141,BIONTECH SE
5324,MEDIPROBE RESEARCH INC
4361,UNIVERSITY HEALTH NETWORK
5002,ST JOSEPHS HEALTHCARE
5077,INSTITUTO GRIFOLS S.A.
5668,PHARMING TECHNOLOGIES BV
6042,BRIGHAM AND WOMENS HOSPITAL
6120,MOLECULAR  INSIGHT  PHARMACEUTICALS INC
5601,GLENMARK PHARMACEUTICALS LTD
5967,NUVO RESEARCH INC
6170,MEDICINOVA INC
3391,CENTRE HOSPITALIER UNIVERSITAIRE DE QUEBEC
1568,KINGSTON GENERAL HOSPITAL
568,HOSPITAL FOR SICK CHILDREN
1401,BAYER AG
1403,JEWISH GENERAL HOSPITAL
1118,ST JOSEPHS HEALTH CENTRE LONDON
2320,MONTREAL HEART INSTITUTE
2587,NEUROCRINE BIOSCIENCES INC
12120,DALCOR PHARMACEUTICALS CANADA INC.
12228,"MITSUBISHI TANABE PHARMA AMERICA, INC."
11816,"ALLAY THERAPEUTICS, INC"
11955,"ARO BIOTHERAPEUTICS, INC."
12057,"CELCUITY, INC"
13090,CANCER CARE PROVINCIAL HEALTH CORPORATION
11881,DR. FALK PHARMA GMBH
12287,"ALTRUBIO, INC"
12909,DOUGLAS FRASER
12195,"VERVE THERAPEUTICS, INC., A WHOLLY OWNED SUBSIDIARY OF ELI LILLY AND COMPANY"
12582,"4D MOLECULAR THERAPEUTICS, INC."
13111,DR. YULIYA KNYAHNYTSKA
12086,"SICHUAN KELUN-BIOTECH BIOPHARMACEUTICAL CO., LTD"
12476,"EIKON THERAPEUTICS, INC."
12983,"IMMATICS US, INC."
12215,BIOHAVEN THERAPEUTICS LTD
12678,LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER
12679,CHUGAI PHARMA USA INC.
12720,"NGM BIOPHARMACEUTICALS, INC."
11938,INVENTPRISE INC.
12444,GATHERING RESILIENCE GROUPS INCORPORATED
12015,ALLOGENE THERAPEUTICS INC
12458,"APOLLO THERAPEUTICS, LIMITED"
12748,TYRA BIOSCIENCES INC.
981,NOVO NORDISK CANADA INC
2031,LUNDBECK CANADA INC
11820,"CARDURION PHARMACEUTICALS, INC"
12311,35PHARMA INC.
12561,UNIVERSITY OF FLORIDA
12795,"ACLARIS THERAPEUTICS, INC."
11852,"CELECOR THERAPEUTICS, INC."
13006,"KYMERA THERAPEUTICS, INC."
12343,KINGSTON GENERAL HEALTH RESEARCH INSTITUTE
12345,KANYOS BIO INC. (A WHOLLY OWNED SUBSIDIARY OF ANOKION S.A.)
12995,ZYDUS THERAPEUTICS INC.
11962,DR. MONA LOUTFY
12974,"FORTVITA BIOLOGICS (USA), INC."
12003,WASHINGTON UNIVERSITY IN ST. LOUIS
12149,IKSUDA THERAPEUTICS LIMITED
12728,SYNNOVATION THERAPEUTICS
12918,ORGANON LLC
11895,INMUNE BIO INC.
12118,"VEGA THERAPEUTICS, INC"
13001,BC CANCER
12253,"SUMITOMO PHARMA AMERICA, INC"
12443,GOVERNORS OF THE UNIVERSITY OF CALGARY/DR. BIJOY MENON
12736,TUBULIS GMBH
12019,NEUROSENSE THERAPEUTICS
12186,"LISATA THERAPEUTICS, INC."
12462,"DR. DI (MARIA) JIANG, UNIVERSITY HEALTH NETWORK"
12771,"LONGBOARD PHARMACEUTICALS, INC."
12338,"HUMAN IMMUNOLOGY BIOSCIENCES, INC. (HI-BIO)"
13066,GLAUKOS CORPORATION
12372,"MURAL ONCOLOGY, INC"
12398,"MORPHIC THERAPEUTIC, INC."
12757,BRUYÈRE HEALTH RESEARCH INSTITUTE
13027,DR. MARK BASIK
13055,SPUR THERAPEUTICS LIMITED
12883,"IMMUNITYBIO, INC."
12405,NICHOLAS JAMES AINSWORTH
12920,MERZ THERAPEUTICS GMBH
12023,NOVA MENTIS LIFE SCIENCE CORP
12483,"DIANTHUS THERAPEUTICS, INC"
4091,GLAXOSMITHKLINE INC
4529,IRCM  INSTITUT DE RECHERCHES CLINIQUES DE MONTREAL
4264,ONO PHARMACEUTICAL CO LTD
5159,ONTARIO CLINICAL ONCOLOGY GROUP
2882,OCTAPHARMA PHARMAZEUTIKA PRODUKTIONSGES M B H
3772,CHX TECHNOLOGIES INC
3507,PROGENICS PHARMACEUTICALS INC
3942,BIOGEN CANADA INC
9631,SHIRE-NPS PHARMACEUTICALS INC.
9632,IPSEN BIOPHARMACEUTICALS CANADA INC
9652,THUNDER BAY REGIONAL HEALTH RESEARCH INSTITUTE
8012,SOLAEROMED INC
8843,VBI VACCINES
9701,"BIRD ROCK BIO, INC"
10418,"IMAGINAB, INC."
8856,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
11204,CANADIAN CANCER TRIALS GROUP
7617,CLOVIS ONCOLOGY INC
7644,VALEANT CANADA LP VALEANT CANADA S.E.C.
8493,ORTHOPAEDIC INNOVATION CENTRE
8507,DR. ANDRIY V. SAMOKHVALOV
8521,"ETHICON, A JOHNSON & JOHNSON COMPANY"
9307,PPM SERVICES S.A.
9312,ADAPTIMMUNE LLC
10161,MEI PHARMA INC
8545,"KARYOPHARM THERAPEUTICS, INC."
8548,ANTIBE THERAPEUTICS INC
8558,EUROPEAN CARDIOVASCULAR RESEARCH INSTITUTE
9384,DR VERINDER SHARMA
9386,PHARNEXT
10212,PRINCIPIA BIOPHARMA INC
10230,PROQR THERAPEUTICS IV BV
10232,DR. JOHN LENEHAN
10244,THERAVANCE BIOPHARMA IRELAND LIMITED
10250,RAIN THERAPEUTICS INC
8614,DR YOO-JOUNG KO
9426,CLINIQUE NEURO-OUTAOUAIS
