protocol_id,submission_no,brand_id,manufacturer_id,manufacturer_name,brand_name
66966,271391,259336,32,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,BI 765049 / EZABENLIMAB (BI 754091)
67931,274377,262548,4544,ALEXION PHARMACEUTICALS INC,ENEBOPARATIDE (AZP-3601)
68959,277480,265869,6763,GILEAD SCIENCES CANADA INC,OBELDESIVIR (GS-5245)
70358,280732,269315,8144,ABBVIE CORPORATION,RISANKIZUMAB / ADALIMUMAB
70242,281239,269895,7628,MERCK CANADA INC,DORAVIRINE-ISLATRAVIR (MK-8591A)
70243,281241,269897,8074,RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,EMPAGLIFLOZIN
70330,281473,270159,8381,TAKEDA DEVELOPMENT CENTER AMERICAS INC,"ZASOCITINIB (TAK-279, NDI-034858)/ APREMILAST"
66911,271255,259198,10992,BRISTOL-MYERS SQUIBB CANADA CO.,BMS-986213 SC (RELATLIMAB-NIVOLUMAB) /  BMS-986213 IV (RELATLIMAB-NIVOLUMAB)
70386,281742,270454,6758,EAGLE PHARMACEUTICALS INC,CHOLESTEROL-SPHINGOMYELIN (CAL02)
69098,277911,266342,3601,ASTRAZENECA CANADA INC,TOZORAKIMAB (MEDI3506)
71865,286643,275959,4091,GLAXOSMITHKLINE INC,DOSTARLIMAB (GSK4057190) / BELRESTOTUG (GSK4428859A)
71803,286454,275728,12181,CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL,CANNABIDIOL
67499,272579,260595,12087,"KRIYA THERAPEUTICS, INC.",RP-008 / VARENICLINE / PREDNISONE / PREDNISOLONE SODIUM PHOSPHATE
67589,273360,261445,4848,BRISTOL-MYERS SQUIBB CANADA,AVADOMIDE (CC-122; BMS-986381)
68090,274880,263104,696,TORONTO GENERAL HOSPITAL,BENLYSTA (BELIMUMAB)
68625,276413,264737,9973,ANAPTYSBIO INC,ROSNILIMAB
67344,272577,260593,12086,"SICHUAN KELUN-BIOTECH BIOPHARMACEUTICAL CO., LTD",SKB264 / PEMBROLIZUMAB
68285,275389,263651,488,ELI LILLY CANADA INC,LY3454738
70086,280161,268710,12345,KANYOS BIO INC. (A WHOLLY OWNED SUBSIDIARY OF ANOKION S.A.),KAN-101
67807,274010,262150,13032,CROSS CANCER INSTITUTE - CANCER CARE ALBERTA,MESALAMINE
69085,277873,266302,1253,MOUNT SINAI HOSPITAL,GONAL-F PEN / LUVERIS
67513,273111,261155,6763,GILEAD SCIENCES CANADA INC,GS-5423 / GS-2872 / LENACAPAVIR
67746,273823,261953,1118,ST JOSEPHS HEALTH CENTRE LONDON,FECAL MICROBIOTA TRANSPLANTATION
55038,234727,220877,10485,"BAUSCH HEALTH AMERICAS, INC.",CLINDAMYCIN/ BENZOYL/ ADAPALENE
57719,243322,229876,8974,ACERTA PHARMA BV,ACALABRUTINIB / RITUXIMAB / CYCLOPHOSPHAMIDE / DOXORUBICIN / VINCRISTINE / PREDNISONE / PEGFILGRASTIM
58649,246471,233117,8074,RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,FLUVOXAMINE
59010,247954,234667,3601,ASTRAZENECA CANADA INC,IMFINZI (DURVALUMAB (MEDI4736))
